name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
グラフ理論,丸善出版,R.ディーステル，根上生也，太田克弘,R.ディーステル,根上生也,太田克弘,,,,,,,,,,,
組合せ最適化 第2版,丸善出版,B.コルテ，J.フィーゲン，浅野孝夫，浅野泰仁，小野孝男，平田富夫,B.コルテ,J.フィーゲン,浅野孝夫,浅野泰仁,小野孝男,平田富夫,,,,,,,,
しっかり学ぶ数理最適化 モデルからアルゴリズムまで,講談社,梅谷俊治,梅谷俊治,,,,,,,,,,,,,
問題解決力を鍛える！アルゴリズムとデータ構造,講談社,大槻兼資，秋葉拓哉,大槻兼資,秋葉拓哉,,,,,,,,,,,,
その問題、数理モデルが解決します,ベレ出版,浜田宏,浜田宏,,,,,,,,,,,,,
その問題、やっぱり数理モデルが解決します,ベレ出版,浜田宏,浜田宏,,,,,,,,,,,,,
データ分析のための数理モデル入門 本質をとらえた分析のために,ソシム,江崎貴裕,江崎貴裕,,,,,,,,,,,,,
分析者のためのデータ解釈学入門 データの本質をとらえる技術,ソシム,江崎貴裕,江崎貴裕,,,,,,,,,,,,,
最適化手法入門,講談社,寒野善博，駒木文保,寒野善博,駒木文保,,,,,,,,,,,,
データサイエンスのための数学,講談社,姫野哲人，保科架風，椎名洋，清水昌平,姫野哲人,保科架風,椎名洋,清水昌平,,,,,,,,,,
工学系のための最適設計法: 機械学習を活用した理論と実践,共立出版,北山哲士,北山哲士,,,,,,,,,,,,,
データ活用のための数理モデリング入門,技術評論社,水上ひろき，熊谷雄介,水上ひろき,熊谷雄介,,,,,,,,,,,,
データマイニングとその応用,朝倉書店,加藤直樹，羽室行信，矢田勝俊,加藤直樹,羽室行信,矢田勝俊,,,,,,,,,,,
データマイニング手法,海文堂,マイケルJAベリー，ゴードンSリノフ,マイケルJAベリー,ゴードンSリノフ,,,,,,,,,,,,
データマイニングの基礎,オーム社,元田浩，津本周作，山口高平，沼尾正行,元田浩,津本周作,山口高平,沼尾正行,,,,,,,,,,
Privacy-Preserving Data Mining,Springer,C.C. Aggarwal，P.S. Yu,C.C. Aggarwal,P.S. Yu,,,,,,,,,,,,
Data Mining With Decision Trees,World Scientific,L. Rokach，Oded Maimon,L. Rokach,Oded Maimon,,,,,,,,,,,,
Statistical and Machine-Learning Data Mining,CRC Press,Bruce Ratner,Bruce Ratner,,,,,,,,,,,,,
